#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   24   31    480.205 0.681D+00    12.548 0.169D-01    23.158 0.388D-01
   25   31    488.806 0.614D+00     8.600 0.134D-01    21.148 0.266D-01
   26   31    499.521 0.520D+00    10.716 0.164D-01    19.316 0.281D-01
   27   31    506.566 0.513D+00     7.046 0.158D-01    17.762 0.316D-01
   28   31    515.644 0.531D+00     9.079 0.125D-01    16.125 0.275D-01
   29   31    519.641 0.500D+00     3.997 0.108D-01    13.076 0.217D-01
   30   31    525.530 0.438D+00     5.889 0.129D-01     9.886 0.223D-01
   31   31    527.758 0.419D+00     2.229 0.146D-01     8.117 0.268D-01
   32   31    530.598 0.449D+00     2.840 0.131D-01     5.068 0.270D-01
   33   31    529.952 0.463D+00    -0.647 0.118D-01     2.193 0.233D-01
   34   31    531.391 0.473D+00     1.440 0.154D-01     0.793 0.257D-01
   35   31    529.501 0.555D+00    -1.890 0.199D-01    -0.450 0.348D-01
   36   31    529.630 0.719D+00     0.130 0.221D-01    -1.760 0.417D-01
   37   31    526.593 0.906D+00    -3.036 0.217D-01    -2.907 0.434D-01
   38   31    525.526 0.107D+01    -1.067 0.204D-01    -4.103 0.415D-01
   39   31    521.424 0.121D+01    -4.102 0.207D-01    -5.169 0.401D-01
   40   31    519.350 0.136D+01    -2.074 0.241D-01    -6.176 0.438D-01
   41   31    513.606 0.155D+01    -5.744 0.292D-01    -7.818 0.528D-01
   42   31    509.891 0.181D+01    -3.716 0.341D-01    -9.460 0.630D-01
   44   31    498.771 0.246D+01     0.000 0.000D+00   -11.121 0.802D-01
   20   32    437.073 0.989D+00    16.780 0.643D-01    31.782 0.161D+00
   21   32    449.089 0.735D+00    12.016 0.361D-01    28.796 0.792D-01
   22   32    463.968 0.624D+00    14.879 0.267D-01    26.895 0.563D-01
   23   32    475.028 0.631D+00    11.058 0.240D-01    25.938 0.480D-01
   24   32    488.490 0.626D+00    13.460 0.158D-01    24.519 0.378D-01
   25   32    497.681 0.538D+00     9.190 0.136D-01    22.651 0.257D-01
   26   32    509.313 0.473D+00    11.632 0.156D-01    20.822 0.279D-01
   27   32    516.996 0.486D+00     7.684 0.149D-01    19.316 0.297D-01
   28   32    526.869 0.518D+00     9.874 0.122D-01    17.558 0.262D-01
   29   32    531.456 0.500D+00     4.587 0.101D-01    14.461 0.208D-01
   30   32    537.982 0.432D+00     6.527 0.113D-01    11.113 0.196D-01
   31   32    540.827 0.381D+00     2.845 0.139D-01     9.372 0.244D-01
   32   32    545.744 0.403D+00     4.916 0.138D-01     7.761 0.272D-01
   33   32    545.633 0.438D+00    -0.111 0.115D-01     4.805 0.243D-01
   34   32    547.689 0.448D+00     2.056 0.128D-01     1.945 0.225D-01
   35   32    546.312 0.488D+00    -1.376 0.176D-01     0.680 0.296D-01
   36   32    547.108 0.610D+00     0.796 0.209D-01    -0.580 0.382D-01
   37   32    544.557 0.781D+00    -2.550 0.217D-01    -1.754 0.423D-01
   38   32    544.184 0.952D+00    -0.372 0.208D-01    -2.923 0.420D-01
   39   32    540.526 0.111D+01    -3.658 0.204D-01    -4.030 0.405D-01
   40   32    539.188 0.125D+01    -1.338 0.225D-01    -4.996 0.419D-01
   41   32    533.843 0.143D+01    -5.345 0.270D-01    -6.683 0.488D-01
   42   32    530.890 0.167D+01    -2.953 0.324D-01    -8.298 0.590D-01
   43   32    524.727 0.197D+01    -6.164 0.376D-01    -9.117 0.694D-01
   44   32    520.928 0.231D+01    -3.800 0.423D-01    -9.964 0.792D-01
   46   32    508.699 0.310D+01     0.000 0.000D+00   -12.230 0.988D-01
   20   33    439.846 0.951D+00    16.984 0.743D-01    33.175 0.170D+00
   21   33    452.778 0.748D+00    12.933 0.390D-01    29.917 0.904D-01
   22   33    467.916 0.672D+00    15.138 0.279D-01    28.071 0.599D-01
   23   33    479.893 0.608D+00    11.975 0.230D-01    27.114 0.468D-01
   24   33    493.771 0.548D+00    13.876 0.157D-01    25.851 0.359D-01
   25   33    503.896 0.472D+00    10.125 0.138D-01    24.000 0.261D-01
   26   33    516.012 0.432D+00    12.117 0.149D-01    22.241 0.274D-01
   27   33    524.533 0.458D+00     8.521 0.143D-01    20.637 0.283D-01
   28   33    534.910 0.502D+00    10.378 0.124D-01    18.899 0.257D-01
   29   33    540.192 0.503D+00     5.282 0.102D-01    15.660 0.213D-01
   30   33    547.203 0.445D+00     7.011 0.100D-01    12.293 0.184D-01
   31   33    550.657 0.370D+00     3.454 0.127D-01    10.465 0.215D-01
   32   33    556.097 0.363D+00     5.440 0.140D-01     8.894 0.262D-01
   33   33    558.065 0.408D+00     1.967 0.123D-01     7.407 0.257D-01
   34   33    560.730 0.434D+00     2.665 0.112D-01     4.633 0.218D-01
   35   33    560.032 0.453D+00    -0.697 0.148D-01     1.968 0.247D-01
   36   33    561.421 0.528D+00     1.390 0.190D-01     0.692 0.334D-01
   37   33    559.574 0.669D+00    -1.847 0.210D-01    -0.457 0.397D-01
   38   33    559.753 0.835D+00     0.180 0.210D-01    -1.667 0.417D-01
   39   33    556.826 0.997D+00    -2.927 0.207D-01    -2.747 0.411D-01
   40   33    555.990 0.115D+01    -0.836 0.217D-01    -3.762 0.415D-01
