# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   13   33  74.13  -1.63  0.010  0.000 -0.001
   13   34  82.85  -1.12  0.009  0.000  0.000
   13   35  94.19   0.19  0.042  0.024  0.000
   14    8  32.05  -3.83  0.023 -0.001  0.000
   14    9  22.98  -2.49  0.023 -0.001  0.000
   14   10  10.35  -1.37  0.023 -0.001  0.000
   14   11   3.44  -1.00  0.023 -0.001  0.000
   14   12  -7.20  -1.22  0.022  0.000  0.000
   14   13 -12.66  -2.02  0.022  0.000  0.000
   14   14 -21.45  -3.21  0.022  0.000  0.000
   14   15 -21.58  -3.13  0.021 -0.001  0.000
   14   16 -24.43  -2.88  0.020 -0.001  0.000
   14   17 -22.39  -2.29  0.027  0.000 -0.006
   14   18 -23.32  -1.94  0.023 -0.001 -0.002
   14   19 -20.41  -1.92  0.023 -0.001 -0.004
   14   20 -20.30  -2.11  0.016 -0.001  0.000
   14   21 -15.49  -1.44  0.027  0.000 -0.006
   14   22 -13.38  -1.00  0.027  0.001 -0.007
   14   23  -7.97  -0.85  0.026  0.002 -0.006
   14   24  -5.20  -0.94  0.025 -0.002 -0.005
   14   25   0.71  -1.25  0.026 -0.002 -0.005
   14   26   4.13  -1.76  0.024 -0.001 -0.002
   14   27  10.51  -2.47  0.026 -0.001 -0.004
   14   28  14.52  -3.31  0.011 -0.001  0.000
   14   29  22.48  -3.22  0.023  0.000 -0.001
   14   30  28.21  -3.19  0.025 -0.001 -0.002
   14   31  36.71  -3.25  0.024 -0.001 -0.001
   14   32  43.03  -3.38  0.011 -0.001 -0.001
   14   33  52.78  -2.82  0.024  0.000 -0.002
   14   34  60.45  -2.26  0.009  0.000  0.000
   14   35  71.78  -0.69  0.026  0.002 -0.007
   14   36  80.67   0.47  0.020 -0.007 -0.003
   14   37  91.56   1.09  0.023 -0.002 -0.001
   14   38 100.28   1.53  0.021  0.002 -0.002
   14   39 111.25   1.76  0.026 -0.001 -0.004
   14   40 120.13   1.86  0.008  0.000  0.000
   14   41 131.65   2.22  0.020  0.001  0.000
   15    8  44.46  -3.44  0.042  0.003 -0.006
   15    9  32.74  -2.86  0.021 -0.001  0.000
   15   10  19.36  -1.83  0.056  0.000 -0.004
   15   11  10.79  -1.30  0.049  0.000 -0.004
   15   12  -0.34  -1.37  0.047 -0.001 -0.003
   15   13  -7.36  -1.98  0.041 -0.001 -0.004
   15   14 -16.62  -3.01  0.021 -0.001  0.000
   15   15 -19.95  -2.78  0.021 -0.001  0.000
   15   16 -23.85  -2.42  0.020 -0.001  0.000
   15   17 -23.38  -1.81  0.036  0.002 -0.003
   15   18 -24.93  -1.52  0.062 -0.001  0.000
   15   19 -23.53  -1.48  0.029 -0.007 -0.004
   15   20 -23.99  -1.70  0.016 -0.001  0.000
   15   21 -20.62  -1.02  0.044  0.010  0.000
   15   22 -19.12  -0.68  0.063  0.004 -0.004
   15   23 -15.12  -0.54  0.064  0.014 -0.004
   15   24 -12.86  -0.66  0.062  0.012 -0.004
   15   25  -8.31  -1.02  0.061  0.013 -0.003
   15   26  -5.37  -1.55  0.055  0.001 -0.005
