#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   24   42    538.566 0.492D+00     5.008 0.918D-02     7.106 0.163D-01
   24   43    540.481 0.512D+00     1.914 0.115D-01     6.922 0.205D-01
   24   44    545.329 0.582D+00     4.848 0.139D-01     6.762 0.253D-01
   24   45    546.770 0.708D+00     1.440 0.159D-01     6.288 0.297D-01
   24   46    551.153 0.880D+00     4.382 0.173D-01     5.822 0.332D-01
   24   47    552.572 0.108D+01     1.418 0.181D-01     5.800 0.354D-01
   24   48    556.966 0.128D+01     4.392 0.185D-01     5.811 0.365D-01
   24   49    558.108 0.149D+01     1.140 0.189D-01     5.533 0.372D-01
   24   50    562.338 0.168D+01     4.228 0.202D-01     5.369 0.388D-01
   24   51    561.743 0.189D+01    -0.597 0.226D-01     3.631 0.424D-01
   24   52    562.692 0.210D+01     0.946 0.256D-01     0.349 0.479D-01
   24   53    561.600 0.234D+01    -1.094 0.281D-01    -0.148 0.535D-01
   24   54    562.082 0.259D+01     0.480 0.285D-01    -0.613 0.564D-01
   24   55    560.626 0.281D+01    -1.458 0.268D-01    -0.978 0.550D-01
   24   56    560.710 0.300D+01     0.084 0.254D-01    -1.374 0.514D-01
   24   57    558.891 0.317D+01    -1.820 0.265D-01    -1.736 0.511D-01
   24   58    558.548 0.335D+01    -0.343 0.292D-01    -2.163 0.554D-01
   24   59    556.354 0.355D+01    -2.195 0.310D-01    -2.539 0.601D-01
   24   60    555.620 0.378D+01    -0.734 0.314D-01    -2.929 0.622D-01
   24   61    553.107 0.401D+01    -2.514 0.312D-01    -3.248 0.622D-01
   24   62    552.071 0.424D+01    -1.036 0.312D-01    -3.550 0.619D-01
   24   63    549.328 0.445D+01    -2.743 0.320D-01    -3.779 0.627D-01
   24   64    548.058 0.462D+01    -1.270 0.337D-01    -4.013 0.652D-01
   24   65    545.147 0.476D+01    -2.911 0.361D-01    -4.181 0.693D-01
   24   66    543.668 0.486D+01    -1.479 0.387D-01    -4.390 0.744D-01
   24   67    540.611 0.495D+01    -3.057 0.411D-01    -4.535 0.795D-01
   24   68    538.944 0.503D+01    -1.666 0.427D-01    -4.722 0.835D-01
